Out of the Past;Crime;Drama;Film-Noir;97;80
Brief Encounter;Drama;Romance;;86;74
Laura;Drama;Film-Noir;Mystery;88;80
The Best Years of Our Lives;Drama;Romance;War;170;74
Arsenic and Old Lace;Comedy;Crime;Thriller;118;80
The Maltese Falcon;Crime;Film-Noir;Mystery;100;77
The Grapes of Wrath;Drama;History;;129;77
The Wizard of Oz;Adventure;Family;Fantasy;102;74
La r?gle du jeu;Comedy;Drama;;110;80
The Thin Man;Comedy;Crime;Mystery;91;69
All Quiet on the Western Front;Drama;War;;152;73
Bronenosets Potemkin;Drama;History;Thriller;75;78
Knives Out;Comedy;Crime;Drama;130;65
Manbiki kazoku;Crime;Drama;;121;73
Marriage Story;Comedy;Drama;Romance;137;74
Call Me by Your Name;Drama;Romance;;132;73
I, Daniel Blake;Drama;;;100;62
Isle of Dogs;Animation;Adventure;Comedy;101;65
Hunt for the Wilderpeople;Adventure;Comedy;Drama;101;64
Captain Fantastic;Comedy;Drama;;118;57
Sing Street;Comedy;Drama;Music;106;62
Thor: Ragnarok;Action;Adventure;Comedy;130;58
Jojo Rabbit;Comedy;Drama;War;108;79
Arrival;Drama;Sci-Fi;;116;64
Star Wars: Episode VII - The Force Awakens;Action;Adventure;Sci-Fi;138;63
Before Midnight;Drama;Romance;;109;74
X-Men: Days of Future Past;Action;Adventure;Sci-Fi;132;59
Bir Zamanlar Anadolu'da;Crime;Drama;;157;65
The Artist;Comedy;Drama;Romance;100;70
Edge of Tomorrow;Action;Adventure;Sci-Fi;113;56
Amour;Drama;;;127;74
Un proph?te;Crime;Drama;;155;71
Moon;Drama;Mystery;Sci-Fi;97;53
L?t den rätte komma in;Crime;Drama;Fantasy;114;65
District 9;Action;Sci-Fi;Thriller;112;64
The Wrestler;Drama;Sport;;109;63
Jab We Met;Comedy;Drama;Romance;138;79
Boyhood;Drama;;;165;79
4 luni, 3 saptamâni si 2 zile;Drama;;;113;77
Star Trek;Action;Adventure;Sci-Fi;127;65
In Bruges;Comedy;Crime;Drama;107;53
The Man from Earth;Drama;Fantasy;Mystery;87;79
Letters from Iwo Jima;Action;Adventure;Drama;141;70
The Fall;Adventure;Drama;Fantasy;117;51
Life of Pi;Adventure;Drama;Fantasy;127;62
